Pincode,State Code,District,Prepaid,Reverse Pickup,REPL,COD,Cash
700095,WB,Kolkata,Y,Y,Y,Y,Y
560059,KA,Bangalore,Y,Y,Y,Y,Y
788723,AS,Karimganj,Y,Y,Y,Y,Y
140126,PB,Ropar,Y,Y,Y,Y,Y
202527,UP,Budaun,Y,Y,Y,Y,Y
466125,MP,Sehore,Y,Y,Y,Y,Y
221715,UP,Ballia,Y,Y,Y,Y,Y
224149,UP,Ambedkar Nagar,Y,Y,Y,Y,Y
799115,TR,West Tripura,Y,Y,Y,Y,Y
816107,JH,Pakur,Y,Y,Y,Y,Y
757052,OR,Mayurbhanj,Y,Y,N,Y,N
785696,AS,Sibsagar,Y,Y,Y,Y,Y
591229,KA,Belgaum,Y,Y,Y,Y,Y
673523,KL,Kozhikode,Y,Y,Y,Y,Y
416301,MH,Sangli,Y,Y,Y,Y,Y
680551,KL,Thrissur,Y,Y,Y,Y,Y
585306,KA,Gulbarga,Y,Y,Y,Y,Y
683515,KL,Ernakulam,Y,Y,Y,Y,Y
328021,RJ,Dholpur,Y,Y,N,Y,N
311024,RJ,Bhilwara,Y,Y,N,Y,N
495691,CG,Korba,Y,Y,Y,Y,Y
396433,GJ,Navsari,Y,Y,Y,Y,Y
502247,TS,Medak,Y,Y,Y,Y,Y
533292,AP,East Godavari,Y,Y,N,Y,N
576213,KA,Udupi,Y,Y,Y,Y,Y
805103,BR,Nawada,Y,Y,Y,Y,Y
522003,AP,Guntur,Y,Y,Y,Y,Y
313611,RJ,Udaipur,Y,Y,N,Y,N
678573,KL,Palakkad,Y,Y,Y,Y,Y
190009,JK,Srinagar,Y,Y,N,Y,N
110024,DL,South Delhi,Y,Y,Y,Y,Y
181141,JK,Jammu,Y,Y,Y,Y,Y
173214,HP,Solan,Y,Y,Y,Y,Y
209734,UP,Kannauj,Y,Y,Y,Y,Y
516101,AP,Cuddapah,Y,Y,Y,Y,Y
759013,OR,Dhenkanal,Y,Y,N,Y,N
413722,MH,Ahmed Nagar,Y,Y,N,Y,N
688582,KL,Alappuzha,Y,Y,Y,Y,Y
142003,PB,Moga,Y,Y,Y,Y,Y
761018,OR,Ganjam,Y,Y,Y,Y,Y
695608,KL,Kilimanoor,Y,Y,Y,Y,Y
333045,RJ,Sikar,Y,Y,Y,Y,Y
688565,KL,Alappuzha,Y,Y,Y,Y,Y
160051,CH,Chandigarh,Y,Y,Y,Y,Y
695318,KL,Thiruvananthapuram,Y,Y,Y,Y,Y
301002,RJ,Alwar,Y,Y,Y,Y,Y
500019,TS,K.V.Rangareddy,Y,Y,Y,Y,Y
244231,UP,Jyotiba Phule Nagar,Y,Y,Y,Y,Y
711120,WB,Hooghly,Y,Y,Y,Y,Y
143408,PB,Amritsar,Y,Y,Y,Y,Y
505210,TS,Karim Nagar,Y,Y,Y,Y,Y
753002,OR,Cuttack,Y,Y,Y,Y,Y
754285,OR,Jajapur,Y,Y,Y,Y,Y
754025,OR,Cuttack,Y,Y,Y,Y,Y
682316,KL,Ernakulam,Y,Y,Y,Y,Y
573113,KA,Hassan,Y,Y,Y,Y,Y
731123,WB,Birbhum,Y,Y,Y,Y,Y
143304,PB,Amritsar,Y,Y,Y,Y,Y
642114,TN,Coimbatore,Y,Y,Y,Y,Y
641687,TN,Coimbatore,Y,Y,Y,Y,Y
679321,KL,Malappuram,Y,Y,Y,Y,Y
793105,ML,Ri Bhoi,Y,Y,Y,Y,Y
416521,MH,Sindhudurg,Y,Y,Y,Y,Y
488001,MP,Panna,Y,Y,N,Y,N
639117,TN,Karur,Y,Y,N,Y,N
630206,TN,Sivaganga,Y,Y,Y,Y,Y
635205,TN,Dharmapuri,Y,Y,Y,Y,Y
642132,TN,Coimbatore,Y,Y,Y,Y,Y
627151,TN,Tirunelveli,Y,Y,Y,Y,Y
614710,TN,Tiruvarur,Y,Y,Y,Y,Y
614904,TN,Thanjavur,Y,Y,Y,Y,Y
639203,TN,Karur,Y,Y,Y,Y,Y
632509,TN,Vellore,Y,Y,Y,Y,Y
184120,JK,Jammu,Y,Y,Y,Y,Y
125003,HR,Hisar,Y,Y,Y,Y,Y
332706,RJ,Sikar,Y,Y,N,Y,N
713206,WB,Bardhaman,Y,Y,Y,Y,Y
382870,GJ,Mahesana,Y,Y,Y,Y,Y
521330,AP,Krishna,Y,Y,Y,Y,Y
802103,BR,Buxar,Y,Y,Y,Y,Y
743145,WB,North 24 Parganas,Y,Y,N,Y,N
754113,OR,Jagatsinghapur,Y,Y,Y,Y,Y
518463,AP,Kurnool,Y,Y,Y,Y,Y
743144,WB,North 24 Parganas,Y,Y,Y,Y,Y
734405,WB,SILIGURI,Y,Y,Y,Y,Y
444801,MH,Amravati,Y,Y,Y,Y,Y
829111,JH,Bokaro,Y,Y,N,Y,N
144000,PB,Jalandhar,Y,Y,Y,Y,Y
768035,OR,Bargarh,Y,Y,Y,Y,Y
562119,KA,Ramanagar,Y,Y,Y,Y,Y
274405,UP,Deoria,Y,Y,Y,Y,Y
827006,JH,Bokaro,Y,Y,Y,Y,Y
591247,KA,Belgaum,Y,Y,Y,Y,Y
493551,CG,Raipur,Y,Y,N,Y,N
670691,KL,Kannur,Y,Y,Y,Y,Y
580028,KA,Dharward,Y,Y,Y,Y,Y
584125,KA,Raichur,Y,Y,Y,Y,Y
412108,MH,Pune,Y,Y,Y,Y,Y
